ID	Height
0	10
1	6
2	6
3	6
4	6
5	12
6	12
7	6
8	6
9	6
10	3.5
11	3.5
12	8.4
13	8.4
14	8.4
15	8.4
16	7.5
17	3
18	6
19	9
20	20
21	27.5
22	8
23	6
24	6
25	6
26	6
27	6
28	6
29	6
30	6
31	6
32	6
33	7.5
34	7.5
35	10
36	10
37	4.5
38	10
39	12.5
40	12.5
41	12.5
42	6.4
43	17.5
44	5
45	5
46	14
47	9
48	14
49	16
50	12.4
51	4
52	8
53	6
54	6
55	12
56	2.8
57	6
58	11.2
59	11.2
60	3
61	11.2
62	11.2
63	12.8
64	12.8
65	9.6
66	9.6
67	9.6
68	9.6
69	6.4
70	12.8
71	12.8
72	12.8
73	12.8
74	9.6
75	9.6
76	14
77	12
78	16
79	8
80	3.2
81	14
82	3.2
83	9.6
84	6.4
85	9
86	6
87	9.6
88	3.6
89	3.6
90	12.8
91	12.8
92	9.6
93	9.6
94	12.8
95	9.6
96	9.6
97	16
98	19.2
99	12.8
100	3.2
101	6.4
102	3.2
103	24.5
104	6.4
105	3.2
106	3.2
107	3.2
108	3.2
109	9.6
110	9.6
111	12.8
112	6.4
113	9.6
114	9.6
115	6.4
116	3.2
117	9.6
118	9.6
119	3.2
120	3.2
121	3.2
122	3.2
123	3.2
124	10.5
125	6.4
126	10.5
127	9.6
128	14
129	7
130	9.6
131	7
132	3.2
133	5
134	6.4
135	3.2
136	7
137	14.4
138	14
139	7.2
140	7.2
141	7.2
142	7.2
143	7.2
144	7.2
145	7.2
146	7.2
147	7.2
148	7.2
149	7.2
150	7.2
151	7.2
152	10.5
153	3.5
154	3.5
155	3.5
156	3.5
157	3.5
158	3.5
159	3.5
160	3.5
161	3.5
162	3.5
163	3.5
164	3.5
165	3.5
166	3.5
167	3.5
168	3.5
169	3.5
170	3.5
171	3.5
172	3.5
173	3.5
174	3.5
175	3.5
176	3.5
177	3.5
178	3.5
179	3.5
180	3.5
181	3.5
182	3.5
183	3.5
184	3.5
185	3.5
186	3.5
187	3.5
188	3.5
189	3.5
190	3.5
191	3.5
192	3.5
193	3.5
194	3.5
195	3.5
196	3.5
197	3.5
198	3.5
199	3.5
200	3.5
201	3.5
202	3.5
203	3.5
204	3.5
205	3.5
206	3.5
207	3.5
208	3.5
209	3.5
210	3.5
211	3.5
212	3.5
213	3.5
214	3.5
215	3.5
216	3.5
217	3.5
218	3.5
219	3.5
220	3.5
221	3.5
222	3.5
223	3.5
224	3.5
225	3.5
226	3.5
227	3.5
228	3.5
229	3.6
230	3.6
231	3.6
232	3.6
233	3.6
234	3.6
235	3.6
236	3.6
237	3.6
238	3.6
239	3.6
240	3.6
241	3.6
242	3.6
243	3.6
244	3.6
245	3.6
246	3.6
247	3.6
248	3.6
249	3.6
250	3.6
251	3.6
252	3.6
253	3.6
254	3.6
255	3.6
256	3.6
257	3.6
258	3.6
259	3.6
260	3.6
261	3.6
262	3.6
263	3.6
264	3.6
265	3.6
266	3.6
267	3.6
268	3.6
269	3.6
270	3.5
271	7
272	6
273	3.6
274	7
275	15
276	20
277	9
278	9
279	24.5
280	24.5
281	24.5
282	24.5
283	24.5
284	24.5
285	24.5
286	24.5
287	24.5
288	24.5
289	24.5
290	24.5
291	24.5
292	24.5
293	52.5
294	52.5
295	52.5
296	52.5
297	42
298	42
299	42
300	42
301	42
302	42
303	24.5
304	24.5
